			   7.0M Z=0.02 VW-M 		
Species    Yield      MassExp     ProdFact    E-Yield    E-MassExp  E-ProdFact 
   mg24   -6.928E-04  5.925E-04  -3.364E-01  -6.883E-04  5.970E-04  -3.331E-01
   mg25    2.358E-03  2.528E-03   1.174E+00   2.495E-03  2.664E-03   1.196E+00
   mg26    5.289E-03  5.483E-03   1.451E+00   5.764E-03  5.958E-03   1.487E+00
   al26    1.032E-04  1.032E-04   0.000E+00   1.029E-04  1.029E-04   0.000E+00
   al27    2.666E-04  4.087E-04   4.588E-01   2.775E-04  4.196E-04   4.702E-01
   si28    2.030E-04  1.836E-03   5.085E-02   2.149E-04  1.848E-03   5.366E-02
   si29    4.813E-05  1.338E-04   1.935E-01   5.081E-05  1.365E-04   2.022E-01
   si30    9.261E-05  1.515E-04   4.105E-01   9.778E-05  1.566E-04   4.251E-01
    p31    2.447E-05  4.005E-05   4.100E-01   2.598E-05  4.156E-05   4.261E-01
    s32   -4.509E-05  1.114E-03  -1.725E-02  -4.697E-05  1.112E-03  -1.799E-02
    s33    3.419E-07  9.778E-06   1.543E-02   3.593E-07  9.796E-06   1.620E-02
    s34   -3.166E-05  4.403E-04  -3.018E-02  -3.274E-05  4.392E-04  -3.125E-02
    s35    3.581E-05  3.581E-05   0.000E+00   3.712E-05  3.712E-05   0.000E+00
   fe54   -1.441E-05  1.622E-04  -3.699E-02  -1.485E-05  1.618E-04  -3.816E-02
   fe55    3.907E-07  3.907E-07   0.000E+00   3.896E-07  3.896E-07   0.000E+00
   fe56   -2.103E-04  2.686E-03  -3.277E-02  -2.175E-04  2.679E-03  -3.392E-02
   fe57    2.593E-06  7.330E-05   1.562E-02   2.435E-06  7.314E-05   1.468E-02
   fe58    4.775E-05  5.691E-05   7.933E-01   4.816E-05  5.732E-05   7.964E-01
   fe60    5.099E-05  5.099E-05   0.000E+00   5.367E-05  5.367E-05   0.000E+00
   co59    2.145E-05  3.021E-05   5.379E-01   2.174E-05  3.050E-05   5.421E-01
   ni58   -1.016E-05  1.154E-04  -3.668E-02  -1.047E-05  1.151E-04  -3.786E-02
   ni60    1.485E-05  6.453E-05   1.136E-01   1.470E-05  6.437E-05   1.125E-01
   ni61    1.207E-04  1.229E-04   1.750E+00   1.260E-04  1.282E-04   1.768E+00
   ni62   -7.008E-06  5.190E-08  -2.134E+00  -7.008E-06  5.190E-08  -2.134E+00
      g    1.600E-05  1.613E-05   2.099E+00   1.708E-05  1.721E-05   2.127E+00
		           7.0M Z=0.008 VW-M
Species    Yield      MassExp     ProdFact    E-Yield    E-MassExp  E-ProdFact 
      p   -8.364E-01  3.533E+00  -9.231E-02  -8.455E-01  3.524E+00  -9.342E-02
    he3    4.853E-06  4.853E-06   0.000E+00   4.853E-06  4.853E-06   0.000E+00
    he4    6.940E-01  2.235E+00   1.614E-01   6.978E-01  2.239E+00   1.621E-01
    li7   -2.529E-08  2.281E-10  -2.049E+00  -2.529E-08  2.281E-10  -2.049E+00
    c12   -1.423E-03  7.052E-03  -7.988E-02   3.267E-03  1.174E-02   1.416E-01
    c13    1.515E-03  1.613E-03   1.217E+00   1.509E-03  1.607E-03   1.215E+00
