                          6.5M Z=0.001 B95
 Species   Yield       MassExp     ProdFact    E-Yield   E-MassExp  E-ProdFact
    he4    5.579E-01  1.907E+00   1.503E-01   5.582E-01  1.907E+00   1.504E-01
    li7   -5.205E-09  5.056E-10  -1.053E+00  -5.205E-09  5.056E-10  -1.053E+00
    c12    3.389E-04  4.381E-04   6.452E-01   5.724E-04  6.715E-04   8.307E-01
    c13    9.626E-05  9.738E-05   1.941E+00   9.621E-05  9.733E-05   1.940E+00
    n14    4.704E-03  4.734E-03   2.192E+00   4.702E-03  4.733E-03   2.192E+00
    n15    1.498E-07  2.626E-07   3.672E-01   1.498E-07  2.625E-07   3.670E-01
    o16   -1.597E-04  1.165E-04  -3.748E-01  -1.510E-04  1.252E-04  -3.437E-01
    o17    5.201E-07  6.255E-07   7.734E-01   5.201E-07  6.255E-07   7.734E-01
    o18   -5.815E-07  5.828E-09  -2.003E+00  -5.815E-07  5.828E-09  -2.003E+00
    f19   -1.191E-08  3.270E-09  -6.667E-01  -1.032E-08  4.860E-09  -4.947E-01
   ne20    1.254E-06  5.046E-05   1.090E-02   1.383E-06  5.059E-05   1.201E-02
   ne21   -1.183E-07  7.327E-09  -1.234E+00  -1.116E-07  1.405E-08  -9.516E-01
   ne22    1.296E-05  1.692E-05   6.313E-01   1.448E-05  1.844E-05   6.687E-01
   na23   -7.209E-07  3.613E-07  -4.764E-01  -6.836E-07  3.986E-07  -4.338E-01
   mg24   -1.558E-05  2.797E-07  -1.754E+00  -1.556E-05  2.982E-07  -1.726E+00
   mg25    1.311E-05  1.520E-05   8.613E-01   1.339E-05  1.548E-05   8.691E-01
   mg26    3.477E-06  5.872E-06   3.894E-01   4.514E-06  6.909E-06   4.600E-01
   al26    1.203E-06  1.203E-06   0.000E+00   1.203E-06  1.203E-06   0.000E+00
   al27    2.752E-06  4.506E-06   4.099E-01   2.768E-06  4.521E-06   4.114E-01
   si28    2.680E-06  2.284E-05   5.418E-02   2.693E-06  2.285E-05   5.442E-02
   si29    1.400E-08  1.072E-06   5.686E-03   1.645E-08  1.074E-06   6.677E-03
   si30    3.707E-08  7.633E-07   2.159E-02   4.230E-08  7.685E-07   2.456E-02
    p31    2.803E-08  2.204E-07   5.905E-02   2.996E-08  2.223E-07   6.283E-02
    s32   -1.340E-08  1.429E-05  -4.331E-04  -1.473E-08  1.429E-05  -4.733E-04
    s33    3.866E-10  1.168E-07   1.413E-03   3.867E-10  1.168E-07   1.414E-03
    s34   -1.697E-08  5.808E-06  -1.293E-03  -1.781E-08  5.807E-06  -1.356E-03
    s35    1.880E-08  1.880E-08   0.000E+00   1.983E-08  1.983E-08   0.000E+00
   fe54   -1.626E-08  2.164E-06  -3.277E-03  -1.659E-08  2.163E-06  -3.344E-03
   fe55    9.995E-09  9.995E-09   0.000E+00   9.993E-09  9.993E-09   0.000E+00
   fe56   -9.656E-08  3.566E-05  -1.201E-03  -1.020E-07  3.565E-05  -1.266E-03
   fe57    1.792E-08  8.906E-07   8.802E-03   1.780E-08  8.905E-07   8.741E-03
   fe58    2.460E-08  1.376E-07   8.550E-02   2.478E-08  1.378E-07   8.606E-02
   fe60    1.692E-08  1.692E-08   0.000E+00   1.848E-08  1.848E-08   0.000E+00
   co59    1.010E-08  1.181E-07   3.879E-02   1.019E-08  1.182E-07   3.912E-02
   ni58   -7.548E-09  1.542E-06  -2.147E-03  -7.784E-09  1.542E-06  -2.213E-03
   ni60    7.048E-10  6.135E-07   4.730E-04   6.369E-10  6.135E-07   4.250E-04
   ni61    1.295E-07  1.565E-07   7.633E-01   1.343E-07  1.613E-07   7.765E-01
   ni62   -8.644E-08  6.568E-10  -2.123E+00  -8.644E-08  6.568E-10  -2.123E+00
      g    7.712E-09  9.295E-09   7.687E-01   8.722E-09  1.031E-08   8.135E-01
                          7.0M Z=10-4 B95
 Species    Yield     MassExp      ProdFact   E-Yield    E-MassExp   E-ProdFac
      p   -6.054E-01  3.797E+00  -6.427E-02  -6.056E-01  3.797E+00  -6.430E-02
    he3    1.001E-06  1.001E-06   0.000E+00   1.001E-06  1.001E-06   0.000E+00
    he4    6.023E-01  2.054E+00   1.507E-01   6.024E-01  2.054E+00   1.507E-01
    li7   -2.722E-09  3.425E-09  -2.540E-01  -2.722E-09  3.425E-09  -2.540E-01
    c12    2.678E-04  3.745E-04   5.451E-01   3.721E-04  4.788E-04   6.518E-01
    c13    7.033E-05  7.154E-05   1.775E+00   7.032E-05  7.152E-05   1.775E+00
    n14    2.861E-03  2.894E-03   1.946E+00   2.860E-03  2.893E-03   1.946E+00
    n15    2.193E-07  3.406E-07   4.481E-01   2.192E-07  3.406E-07   4.481E-01
    o16   -1.841E-04  1.133E-04  -4.192E-01  -1.790E-04  1.184E-04  -4.000E-01
    o17    5.456E-07  6.590E-07   7.640E-01   5.456E-07  6.591E-07   7.640E-01
    o18   -6.259E-07  6.424E-09  -1.993E+00  -6.259E-07  6.424E-09  -1.993E+00
    f19   -1.444E-08  1.900E-09  -9.346E-01  -1.375E-08  2.594E-09  -7.993E-01
   ne20    1.567E-06  5.454E-05   1.263E-02   1.713E-06  5.469E-05   1.380E-02
   ne21   -1.246E-07  1.066E-08  -1.103E+00  -1.191E-07  1.611E-08  -9.240E-01
   ne22    4.350E-06  8.605E-06   3.058E-01   4.640E-06  8.895E-06   3.202E-01
   na23   -7.716E-07  3.935E-07  -4.715E-01  -7.641E-07  4.009E-07  -4.633E-01
   mg24   -1.664E-05  4.329E-07  -1.596E+00  -1.663E-05  4.415E-07  -1.587E+00
   mg25    1.502E-05  1.727E-05   8.847E-01   1.512E-05  1.737E-05   8.871E-01
   mg26    8.762E-07  3.455E-06   1.270E-01   1.246E-06  3.824E-06   1.711E-01
   al26    7.354E-07  7.354E-07   0.000E+00   7.354E-07  7.354E-07   0.000E+00
   al27    1.538E-06  3.425E-06   2.588E-01   1.544E-06  3.431E-06   2.596E-01
   si28    2.953E-06  2.466E-05   5.538E-02   2.959E-06  2.466E-05   5.547E-02
   si29   -3.942E-09  1.135E-06  -1.533E-03  -2.897E-09  1.136E-06  -1.132E-03
   si30    1.805E-08  7.998E-07   9.887E-03   2.007E-08  8.018E-07   1.098E-02
    p31    2.260E-08  2.297E-07   4.497E-02   2.332E-08  2.304E-07   4.632E-02
    s32   -4.020E-09  1.540E-05  -1.395E-04  -4.478E-09  1.540E-05  -1.524E-04
    s33    3.341E-10  1.257E-07   1.130E-03   3.368E-10  1.257E-07   1.139E-03
    s34   -1.111E-08  6.259E-06  -7.962E-04  -1.142E-08  6.259E-06  -8.179E-04
    s35    1.199E-08  1.199E-08   0.000E+00   1.238E-08  1.238E-08   0.000E+00
   fe54   -1.458E-08  2.332E-06  -2.733E-03  -1.471E-08  2.332E-06  -2.756E-03
   fe55    1.145E-08  1.145E-08   0.000E+00   1.145E-08  1.145E-08   0.000E+00
   fe56   -5.265E-08  3.844E-05  -6.205E-04  -5.470E-08  3.844E-05  -6.437E-04
   fe57    1.866E-08  9.581E-07   8.514E-03   1.862E-08  9.580E-07   8.496E-03
   fe58    1.393E-08  1.356E-07   4.705E-02   1.408E-08  1.358E-07   4.754E-02
   fe60    6.636E-09  6.636E-09   0.000E+00   7.241E-09  7.241E-09   0.000E+00
   co59    6.247E-09  1.225E-07   2.270E-02   6.329E-09  1.226E-07   2.299E-02
