#		            6.5M Z=0.004 VW93
#Species    Yield      MassExp     ProdFact    E-Yield    E-MassExp  E-ProdFact 
   al27    9.898E-06  9.724E-05   4.660E-02   1.119E-05  9.853E-05   5.231E-02
   si28    9.476E-06  1.014E-03   4.053E-03   1.152E-05  1.016E-03   4.927E-03
   si29    1.192E-06  5.386E-05   9.695E-03   2.069E-06  5.474E-05   1.671E-02
   si30    2.772E-06  3.893E-05   3.205E-02   4.846E-06  4.101E-05   5.460E-02
    p31    7.261E-07  1.030E-05   3.171E-02   1.268E-06  1.084E-05   5.397E-02
    s32   -1.398E-06  7.111E-04  -8.788E-04  -2.359E-06  7.101E-04  -1.466E-03
    s33    2.775E-08  5.827E-06   2.047E-03   4.262E-08  5.842E-06   3.154E-03
    s34   -1.133E-06  2.890E-04  -1.726E-03  -1.712E-06  2.884E-04  -2.596E-03
    s35    1.265E-06  1.265E-06   0.000E+00   1.933E-06  1.933E-06   0.000E+00
   fe54   -8.551E-07  1.077E-04  -3.460E-03  -1.089E-06  1.075E-04  -4.405E-03
   fe55    4.302E-07  4.302E-07   0.000E+00   4.292E-07  4.292E-07   0.000E+00
   fe56   -6.706E-06  1.774E-03  -1.665E-03  -1.049E-05  1.770E-03  -2.593E-03
   fe57    7.443E-07  4.421E-05   7.349E-03   6.762E-07  4.414E-05   6.679E-03
   fe58    1.311E-06  6.939E-06   9.091E-02   1.655E-06  7.283E-06   1.119E-01
   fe60    2.021E-06  2.021E-06   0.000E+00   3.588E-06  3.588E-06   0.000E+00
   co59    6.437E-07  6.021E-06   4.907E-02   8.877E-07  6.265E-06   6.633E-02
   ni58   -4.479E-07  7.673E-05  -2.554E-03  -6.148E-07  7.656E-05  -3.499E-03
   ni60    4.975E-08  3.057E-05   6.814E-04  -2.354E-09  3.052E-05  -5.926E-05
   ni61    7.537E-06  8.880E-06   8.201E-01   9.982E-06  1.133E-05   9.257E-01
   ni62   -4.310E-06  2.704E-08  -2.205E+00  -4.310E-06  2.704E-08  -2.205E+00
      g    4.924E-07  5.712E-07   8.601E-01   8.355E-07  9.143E-07   1.064E+00
