			   8.5M Z=0.02 B95	
Species    Yield      MassExp     ProdFact    E-Yield    E-MassExp  E-ProdFact 
   fe54   -3.039E-06  5.865E-04  -2.270E-03  -3.551E-06  5.860E-04  -2.649E-03
   fe55    1.732E-06  1.732E-06   0.000E+00   1.731E-06  1.731E-06   0.000E+00
   fe56   -1.979E-05  9.643E-03  -9.157E-04  -2.739E-05  9.635E-03  -1.258E-03
   fe57    3.536E-06  2.395E-04   6.434E-03   3.635E-06  2.396E-04   6.614E-03
   fe58    7.063E-06  3.762E-05   9.029E-02   9.241E-06  3.980E-05   1.147E-01
   fe60    3.682E-06  3.682E-06   0.000E+00   6.085E-06  6.085E-06   0.000E+00
   co59    2.993E-06  3.219E-05   4.236E-02   4.071E-06  3.327E-05   5.665E-02
   ni58   -1.511E-06  4.175E-04  -1.594E-03  -1.875E-06  4.171E-04  -1.974E-03
   ni60    3.257E-07  1.660E-04   8.276E-04   3.494E-07  1.660E-04   8.898E-04
   ni61    2.898E-05  3.627E-05   6.967E-01   3.202E-05  3.931E-05   7.317E-01
   ni62   -2.340E-05  1.483E-07  -2.201E+00  -2.340E-05  1.483E-07  -2.201E+00
      g    8.662E-07  1.294E-06   4.805E-01   1.168E-06  1.596E-06   5.716E-01
